Nome, Media, Desvio, Curtose, Mediana, Energia(10), Entropia(10), Contraste(10), Variancia(10), Homogeneidade(10), Energia(01), Entropia(01), Contraste(01), Variancia(01), Homogeneidade(01),Energia(1-1), Entropia(1-1), Contraste(1-1), Variancia(1-1), Homogeneidade(1-1), Classe
RT8_11.jpg, 125.000000, 6594.579102, 3.286733, 1426.500000, 464135.000000, 681.274536, 19712.000000, -256.000000, 483847.000000, 742057.000000, 861.427307, 17401.000000, -137.000000, 759458.000000, 504839.000000, 710.520203, 16563.000000, -35.000000, 521402.000000, Tijolos
RT8_12.jpg, 127.000000, 6422.009277, 2.690337, 1291.000000, 436565.000000, 660.730652, 25682.000000, -296.000000, 462247.000000, 1160884.000000, 1077.443237, 11507.000000, -7.000000, 1172391.000000, 349679.000000, 591.336609, 26661.000000, -297.000000, 376340.000000, Tijolos
RT8_13.jpg, 131.000000, 6296.162109, 3.118373, 1331.500000, 475748.000000, 689.744873, 36836.000000, -312.000000, 512584.000000, 539596.000000, 734.571960, 11555.000000, 9.000000, 551151.000000, 304412.000000, 551.735474, 30940.000000, -254.000000, 335352.000000, Tijolos
RT8_14.jpg, 129.000000, 6081.569336, 2.719397, 1335.500000, 408094.000000, 638.822327, 26241.000000, -215.000000, 434335.000000, 746084.000000, 863.761536, 19370.000000, 74.000000, 765454.000000, 236935.000000, 486.759705, 27874.000000, -274.000000, 264809.000000, Tijolos
RT8_15.jpg, 127.000000, 6825.017578, 3.750501, 1746.500000, 622989.000000, 789.296509, 26549.000000, -177.000000, 649538.000000, 583009.000000, 763.550232, 15442.000000, 0.000000, 598451.000000, 522927.000000, 723.136902, 45189.000000, 5.000000, 568116.000000, Tijolos
RT8_16.jpg, 124.000000, 6854.412109, 3.550267, 1522.000000, 562701.000000, 750.133972, 21994.000000, -144.000000, 584695.000000, 619771.000000, 787.255371, 22749.000000, -87.000000, 642520.000000, 523314.000000, 723.404480, 12157.000000, 99.000000, 535471.000000, Tijolos
RT8_17.jpg, 126.000000, 6743.040527, 3.459160, 1530.000000, 485700.000000, 696.921814, 28808.000000, -202.000000, 514508.000000, 659623.000000, 812.171753, 10485.000000, -49.000000, 670108.000000, 446515.000000, 668.217773, 27020.000000, -138.000000, 473535.000000, Tijolos
RT8_18.jpg, 126.000000, 6254.536621, 2.827533, 1539.000000, 480383.000000, 693.096680, 25889.000000, -271.000000, 506272.000000, 715429.000000, 845.830383, 13332.000000, 26.000000, 728761.000000, 471427.000000, 686.605408, 43326.000000, -358.000000, 514753.000000, Tijolos
RT8_19.jpg, 126.000000, 6560.200195, 3.152071, 1622.500000, 478838.000000, 691.981201, 29877.000000, -237.000000, 508715.000000, 1107021.000000, 1052.150635, 14606.000000, -18.000000, 1121627.000000, 407586.000000, 638.424622, 27383.000000, -197.000000, 434969.000000, Tijolos
RT8_2.jpg, 131.000000, 7608.854980, 4.285372, 1436.000000, 1693104.000000, 1301.193359, 18663.000000, 51.000000, 1711767.000000, 3672428.000000, 1916.358032, 11899.000000, -51.000000, 3684327.000000, 4986645.000000, 2233.079834, 32312.000000, 144.000000, 5018957.000000, Tijolos
RT8_20.jpg, 126.000000, 6387.800293, 3.037406, 1414.500000, 369303.000000, 607.703064, 26466.000000, -246.000000, 395769.000000, 605919.000000, 778.408020, 10063.000000, -35.000000, 615982.000000, 380487.000000, 616.836304, 29941.000000, -223.000000, 410428.000000, Tijolos
RT8_3.jpg, 133.000000, 7201.467773, 3.473470, 1076.000000, 759421.000000, 871.447632, 18540.000000, -230.000000, 777961.000000, 990829.000000, 995.403931, 6353.000000, 5.000000, 997182.000000, 599949.000000, 774.563721, 20541.000000, -259.000000, 620490.000000, Tijolos
RT8_4.jpg, 131.000000, 7474.628906, 3.597575, 1039.500000, 1173074.000000, 1083.085449, 10745.000000, -13.000000, 1183819.000000, 1226720.000000, 1107.573975, 9072.000000, -8.000000, 1235792.000000, 1109733.000000, 1053.438599, 25235.000000, -85.000000, 1134968.000000, Tijolos
RT8_5.jpg, 132.000000, 6970.574219, 3.334602, 1353.500000, 477642.000000, 691.116516, 24329.000000, -261.000000, 501971.000000, 667838.000000, 817.213562, 9730.000000, 16.000000, 677568.000000, 559688.000000, 748.122986, 35006.000000, -292.000000, 594694.000000, Tijolos
RT8_6.jpg, 124.000000, 6929.469238, 3.878498, 1915.500000, 577767.000000, 760.109863, 20479.000000, 3.000000, 598246.000000, 938265.000000, 968.640808, 10172.000000, -22.000000, 948437.000000, 803509.000000, 896.386658, 33864.000000, -28.000000, 837373.000000, Tijolos
RT8_7.jpg, 122.000000, 6399.589355, 4.106828, 2542.500000, 1034164.000000, 1016.938538, 17013.000000, 173.000000, 1051177.000000, 1026418.000000, 1013.122925, 6513.000000, 9.000000, 1032931.000000, 689292.000000, 830.236084, 17134.000000, 136.000000, 706426.000000, Tijolos
RT8_8.jpg, 123.000000, 6327.774414, 4.067478, 2598.500000, 2069819.000000, 1438.686523, 32525.000000, 235.000000, 2102344.000000, 601256.000000, 775.406982, 7597.000000, 41.000000, 608853.000000, 1952672.000000, 1397.380371, 39643.000000, 219.000000, 1992315.000000, Tijolos
RT8_9.jpg, 123.000000, 6499.356934, 4.030457, 2347.000000, 2284464.000000, 1511.444336, 22944.000000, 126.000000, 2307408.000000, 1791304.000000, 1338.395996, 8923.000000, -15.000000, 1800227.000000, 565831.000000, 752.217407, 14845.000000, 123.000000, 580676.000000, Tijolos
